Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arizona CardinalsARI,Arizona Cardinals,Dallas Cowboys@Arizona Cardinals,24.0,5.0,2,0,1,0,2,26,199,183,382,,,,,,
Minnesota VikingsMIN,Minnesota Vikings,Minnesota Vikings@Philadelphia Eagles,22.0,6.0,1,0,2,0,1,14,224,107,331,,,,,,
Pittsburgh SteelersPIT,Pittsburgh Steelers,Carolina Panthers@Pittsburgh Steelers,18.0,4.0,1,0,1,0,0,3,45,74,119,,,,,,
Kansas City ChiefsKC,Kansas City Chiefs,Tennessee Titans@Kansas City Chiefs,17.0,3.0,2,0,0,0,1,14,213,57,270,,,,,,
Green Bay PackersGB,Green Bay Packers,New York Giants@Green Bay Packers,17.0,1.0,4,0,2,0,0,17,296,90,386,,,,,,
Atlanta FalconsATL,Atlanta Falcons,New Orleans Saints@Atlanta Falcons,15.0,1.0,2,0,0,0,1,17,296,72,368,,,,,,
Baltimore RavensBAL,Baltimore Ravens,Baltimore Ravens@Cleveland Browns,15.0,0.0,3,0,1,0,0,10,178,102,280,,,,,,
Detroit LionsDET,Detroit Lions,Detroit Lions@Miami Dolphins,15.0,2.0,2,0,1,0,1,27,271,154,425,,,,,,
S,Los Angeles Rams,San Francisco 49ers@Los Angeles Rams,14.0,4.0,1,1,1,0,0,17,246,85,331,,,,,,
Washington RedskinsWAS,Washington Commanders,Washington Commanders@Jacksonville Jaguars,12.0,4.0,2,0,0,0,0,17,258,78,336,,,,,,
San Francisco 49ersSF,San Francisco 49ers,San Francisco 49ers@Los Angeles Rams,10.0,1.0,0,0,1,0,1,25,275,60,335,,,,,,
New York JetsNYJ,New York Jets,New York Jets@Chicago Bears,10.0,2.0,1,0,0,0,1,38,202,120,322,,,,,,
Oakland RaidersOAK,Las Vegas Raiders,Indianapolis Colts@Las Vegas Raiders,10.0,0.0,2,0,0,0,1,31,179,191,370,,,,,,
Cincinnati BengalsCIN,Cincinnati Bengals,Los Angeles Chargers@Cincinnati Bengals,9.0,1.0,1,0,1,0,0,20,249,64,313,,,,,,
New Orleans SaintsNO,New Orleans Saints,New Orleans Saints@Atlanta Falcons,9.0,1.0,0,0,2,0,0,14,140,75,215,,,,,,
Carolina PanthersCAR,Carolina Panthers,Carolina Panthers@Pittsburgh Steelers,8.0,3.0,0,0,2,0,0,27,293,115,408,,,,,,
Tampa Bay BuccaneersTB,Tampa Bay Buccaneers,Seattle Seahawks@Tampa Bay Buccaneers,7.0,3.0,0,0,0,0,0,15,84,90,174,,,,,,
Jacksonville JaguarsJAX,Jacksonville Jaguars,Washington Commanders@Jacksonville Jaguars,7.0,1.0,1,0,0,0,0,20,172,79,251,,,,,,
Cleveland BrownsCLE,Cleveland Browns,Baltimore Ravens@Cleveland Browns,7.0,1.0,1,0,0,0,0,20,97,161,258,,,,,,
Tennessee TitansTEN,Tennessee Titans,Tennessee Titans@Kansas City Chiefs,5.0,1.0,1,0,1,0,0,34,306,152,458,,,,,,
Philadelphia EaglesPHI,Philadelphia Eagles,Minnesota Vikings@Philadelphia Eagles,5.0,2.0,0,0,1,0,0,24,176,161,337,,,,,,
Houston TexansHOU,Houston Texans,Houston Texans@Denver Broncos,4.0,1.0,1,0,0,0,0,24,305,126,431,,,,,,
Seattle SeahawksSEA,Seattle Seahawks,Seattle Seahawks@Tampa Bay Buccaneers,4.0,2.0,0,0,0,1,0,38,231,208,439,,,,,,
Chicago BearsCHI,Chicago Bears,New York Jets@Chicago Bears,4.0,0.0,1,0,1,0,0,34,269,124,393,,,,,,
New York GiantsNYG,New York Giants,New York Giants@Green Bay Packers,4.0,2.0,0,0,1,0,0,45,396,119,515,,,,,,
Indianapolis ColtsIND,Indianapolis Colts,Indianapolis Colts@Las Vegas Raiders,4.0,3.0,0,0,0,0,0,26,210,80,290,,,,,,
Denver BroncosDEN,Denver Broncos,Houston Texans@Denver Broncos,3.0,0.0,1,0,0,0,0,23,310,91,401,,,,,,
San Diego ChargersSD,Los Angeles Chargers,Los Angeles Chargers@Cincinnati Bengals,2.0,0.0,0,0,1,0,0,34,269,102,371,,,,,,
Miami DolphinsMIA,Miami Dolphins,Detroit Lions@Miami Dolphins,2.0,2.0,0,0,0,0,0,34,208,67,275,,,,,,
Dallas CowboysDAL,Dallas Cowboys,Dallas Cowboys@Arizona Cardinals,2.0,1.0,0,0,0,0,0,27,178,93,271,,,,,,
Buffalo BillsBUF,Buffalo Bills,New England Patriots@Buffalo Bills,1.0,1.0,0,0,0,0,0,34,131,217,348,,,,,,
