Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David Buehler,Dallas Cowboys,Dallas Cowboys@Indianapolis Colts,12.0,3,3,4,3,0,,,,,,,,,,,
David Akers,Philadelphia Eagles,Houston Texans@Philadelphia Eagles,10.0,4,4,2,2,0,,,,,,,,,,,
Mason Crosby,Green Bay Packers,San Francisco 49ers@Green Bay Packers,10.0,4,4,3,2,0,,,,,,,,,,,
Garrett Hartley,New Orleans Saints,New Orleans Saints@Cincinnati Bengals,10.0,4,4,2,2,0,,,,,,,,,,,
Dave Rayner,Detroit Lions,Chicago Bears@Detroit Lions,10.0,2,2,2,2,1,,,,,,,,,,,
Jeff Reed,San Francisco 49ers,San Francisco 49ers@Green Bay Packers,10.0,1,1,3,3,0,,,,,,,,,,,
Clint Stitser,New Orleans Saints,New Orleans Saints@Cincinnati Bengals,10.0,2,1,3,3,0,,,,,,,,,,,
Shayne Graham,New England Patriots,New York Jets@New England Patriots,9.0,6,6,1,1,0,,,,,,,,,,,
Robbie Gould,Chicago Bears,Chicago Bears@Detroit Lions,8.0,3,3,1,1,1,,,,,,,,,,,
Ryan Longwell,Minnesota Vikings,Buffalo Bills@Minnesota Vikings,8.0,5,5,1,1,0,,,,,,,,,,,
Phil Dawson,Cleveland Browns,Cleveland Browns@Miami Dolphins,7.0,1,1,3,2,0,,,,,,,,,,,
Nate Kaeding,Los Angeles Chargers,Las Vegas Raiders@Los Angeles Chargers,7.0,1,1,3,2,0,,,,,,,,,,,
Olindo Mare,Seattle Seahawks,Carolina Panthers@Seattle Seahawks,7.0,4,4,2,1,0,,,,,,,,,,,
Shaun Suisham,Pittsburgh Steelers,Pittsburgh Steelers@Baltimore Ravens,7.0,1,1,2,2,0,,,,,,,,,,,
Lawrence Tynes,New York Giants,Washington Commanders@New York Giants,7.0,4,4,1,1,0,,,,,,,,,,,
Connor Barth,Tampa Bay Buccaneers,Atlanta Falcons@Tampa Bay Buccaneers,6.0,3,3,1,1,0,,,,,,,,,,,
Rob Bironas,Tennessee Titans,Jacksonville Jaguars@Tennessee Titans,6.0,0,0,2,2,0,,,,,,,,,,,
Dan Carpenter,Miami Dolphins,Cleveland Browns@Miami Dolphins,6.0,1,1,2,1,1,,,,,,,,,,,
Jay Feely,Arizona Cardinals,Los Angeles Rams@Arizona Cardinals,6.0,0,0,2,2,0,,,,,,,,,,,
Matt Prater,Denver Broncos,Denver Broncos@Kansas City Chiefs,6.0,0,0,2,2,0,,,,,,,,,,,
Neil Rackers,Houston Texans,Houston Texans@Philadelphia Eagles,6.0,3,3,1,1,0,,,,,,,,,,,
Josh Scobee,Jacksonville Jaguars,Jacksonville Jaguars@Tennessee Titans,5.0,2,2,3,1,0,,,,,,,,,,,
Adam Vinatieri,Indianapolis Colts,Dallas Cowboys@Indianapolis Colts,5.0,5,5,0,0,0,,,,,,,,,,,
Matt Bryant,Atlanta Falcons,Atlanta Falcons@Tampa Bay Buccaneers,4.0,4,4,0,0,0,,,,,,,,,,,
Billy Cundiff,Baltimore Ravens,Pittsburgh Steelers@Baltimore Ravens,4.0,1,1,1,1,0,,,,,,,,,,,
Sebastian Janikowski,Las Vegas Raiders,Las Vegas Raiders@Los Angeles Chargers,4.0,4,4,0,0,0,,,,,,,,,,,
Ryan Succop,Kansas City Chiefs,Denver Broncos@Kansas City Chiefs,4.0,1,1,1,1,0,,,,,,,,,,,
Nick Folk,New York Jets,New York Jets@New England Patriots,3.0,0,0,2,1,0,,,,,,,,,,,
John Kasay,Carolina Panthers,Carolina Panthers@Seattle Seahawks,2.0,2,2,0,0,0,,,,,,,,,,,
Rian Lindell,Buffalo Bills,Buffalo Bills@Minnesota Vikings,2.0,2,2,0,0,0,,,,,,,,,,,
Graham Gano,Washington Commanders,Washington Commanders@New York Giants,1.0,1,1,1,0,0,,,,,,,,,,,
