Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Matt Schaub,Houston Texans,Houston Texans@Washington Commanders,35.0,52,38,497,3,1,0,1,2,0,0,0,0,0,0,0,0
Aaron Rodgers,Green Bay Packers,Buffalo Bills@Green Bay Packers,30.0,29,19,255,2,0,0,5,20,1,0,0,0,0,0,0,0
Jay Cutler,Chicago Bears,Chicago Bears@Dallas Cowboys,29.0,29,21,277,3,0,0,5,3,0,0,0,0,0,0,0,0
Peyton Manning,Indianapolis Colts,New York Giants@Indianapolis Colts,28.0,26,20,255,3,0,0,3,-3,0,0,0,0,0,0,0,0
Mark Sanchez,New York Jets,New England Patriots@New York Jets,28.0,30,21,220,3,0,1,4,2,0,0,0,0,0,0,0,0
Philip Rivers,Los Angeles Chargers,Jacksonville Jaguars@Los Angeles Chargers,27.0,29,22,334,3,2,0,0,0,0,0,0,0,0,0,0,0
Matt Ryan,Atlanta Falcons,Arizona Cardinals@Atlanta Falcons,26.0,32,21,225,3,0,0,6,6,0,0,0,0,0,0,1,0
Michael Vick,Philadelphia Eagles,Philadelphia Eagles@Detroit Lions,26.0,34,21,284,2,0,0,8,37,0,0,0,0,0,0,0,0
Shaun Hill,Detroit Lions,Philadelphia Eagles@Detroit Lions,24.0,45,25,335,2,2,1,3,16,0,0,0,0,0,0,0,0
Kyle Orton,Denver Broncos,Seattle Seahawks@Denver Broncos,24.0,35,25,307,2,0,0,3,-5,0,0,0,0,0,0,0,0
Drew Brees,New Orleans Saints,New Orleans Saints@San Francisco 49ers,23.0,38,28,254,2,0,0,0,0,0,0,1,7,0,0,0,0
Josh Freeman,Tampa Bay Buccaneers,Tampa Bay Buccaneers@Carolina Panthers,23.0,24,12,178,2,0,0,4,43,0,0,0,0,0,0,0,0
Donovan McNabb,Washington Commanders,Houston Texans@Washington Commanders,23.0,38,28,426,1,0,0,0,0,0,0,0,0,0,0,0,0
Matt Hasselbeck,Seattle Seahawks,Seattle Seahawks@Denver Broncos,17.0,35,20,233,1,3,0,3,21,1,0,0,0,0,0,0,0
Alex Smith,San Francisco 49ers,New Orleans Saints@San Francisco 49ers,17.0,32,23,275,1,2,1,4,28,0,0,0,0,0,0,0,0
Sam Bradford,Los Angeles Rams,Los Angeles Rams@Las Vegas Raiders,16.0,25,14,167,2,1,0,0,0,0,0,0,0,0,0,0,0
Tom Brady,New England Patriots,New England Patriots@New York Jets,16.0,36,20,248,2,2,0,0,0,0,0,0,0,0,0,1,0
Tony Romo,Dallas Cowboys,Chicago Bears@Dallas Cowboys,16.0,51,34,374,1,2,0,1,-1,0,0,0,0,0,0,0,0
Eli Manning,New York Giants,New York Giants@Indianapolis Colts,14.0,24,13,161,2,1,0,1,6,0,0,0,0,0,0,2,0
Seneca Wallace,Cleveland Browns,Kansas City Chiefs@Cleveland Browns,13.0,31,16,229,1,1,0,1,4,0,0,0,0,0,0,0,0
Kerry Collins,Tennessee Titans,Pittsburgh Steelers@Tennessee Titans,10.0,25,17,149,1,1,1,2,-1,0,0,0,0,0,0,1,0
Bruce Gradkowski,Las Vegas Raiders,Los Angeles Rams@Las Vegas Raiders,10.0,21,11,162,1,1,0,4,0,0,0,0,0,0,0,0,0
Chad Henne,Miami Dolphins,Miami Dolphins@Minnesota Vikings,10.0,15,9,114,1,0,0,2,0,0,0,0,0,0,0,0,0
Matt Moore,Carolina Panthers,Tampa Bay Buccaneers@Carolina Panthers,8.0,16,6,125,1,1,0,1,2,0,0,0,0,0,0,1,0
Carson Palmer,Cincinnati Bengals,Baltimore Ravens@Cincinnati Bengals,6.0,35,16,167,0,0,0,3,-1,0,0,0,0,0,0,0,0
Joe Flacco,Baltimore Ravens,Baltimore Ravens@Cincinnati Bengals,4.0,39,17,154,1,4,0,3,9,0,0,0,0,0,0,0,0
David Garrard,Jacksonville Jaguars,Jacksonville Jaguars@Los Angeles Chargers,4.0,23,15,173,1,4,0,1,-1,0,0,0,0,0,0,0,0
Luke McCown,Jacksonville Jaguars,Jacksonville Jaguars@Los Angeles Chargers,4.0,19,11,120,0,0,0,1,4,0,0,0,0,0,0,0,0
