Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arian Foster,Houston Texans,Houston Texans@New York Jets,30.0,0,0,0,0,0,0,22,84,2,0,6,59,0,0,1,0
Fred Jackson,Buffalo Bills,Buffalo Bills@Cincinnati Bengals,27.0,0,0,0,0,0,0,21,116,2,0,3,13,0,0,0,0
Maurice Jones-Drew,Jacksonville Jaguars,Cleveland Browns@Jacksonville Jaguars,27.0,1,0,0,0,1,0,23,133,1,0,3,87,0,0,1,0
Peyton Hillis,Cleveland Browns,Cleveland Browns@Jacksonville Jaguars,25.0,0,0,0,0,0,0,21,48,0,0,6,95,1,0,0,0
LeSean McCoy,Philadelphia Eagles,New York Giants@Philadelphia Eagles,24.0,0,0,0,0,0,0,14,111,1,0,5,29,0,0,0,0
Knowshon Moreno,Denver Broncos,Denver Broncos@Los Angeles Chargers,24.0,0,0,0,0,0,0,13,58,1,0,7,62,0,0,0,0
Ray Rice,Baltimore Ravens,Baltimore Ravens@Carolina Panthers,24.0,0,0,0,0,0,0,19,65,1,0,6,66,0,0,0,0
Mike Tolbert,Los Angeles Chargers,Denver Broncos@Los Angeles Chargers,23.0,0,0,0,0,0,0,25,111,1,0,2,42,0,0,0,0
Cedric Benson,Cincinnati Bengals,Buffalo Bills@Cincinnati Bengals,22.0,0,0,0,0,0,0,25,124,1,0,3,22,0,0,1,0
Mike Goodson,Carolina Panthers,Baltimore Ravens@Carolina Panthers,20.0,0,0,0,0,0,0,22,120,0,0,5,31,0,0,0,0
Michael Turner,Atlanta Falcons,Atlanta Falcons@Los Angeles Rams,20.0,0,0,0,0,0,0,28,131,1,0,1,-4,0,0,0,0
Thomas Jones,Kansas City Chiefs,Arizona Cardinals@Kansas City Chiefs,19.0,0,0,0,0,0,0,15,71,2,0,0,0,0,0,0,0
Darren Sproles,Los Angeles Chargers,Denver Broncos@Los Angeles Chargers,18.0,0,0,0,0,0,0,5,14,0,0,5,60,1,0,0,0
Danny Woodhead,New England Patriots,Indianapolis Colts@New England Patriots,18.0,0,0,0,0,0,0,7,69,1,0,4,21,0,0,0,0
Matt Forte,Chicago Bears,Chicago Bears@Miami Dolphins,17.0,0,0,0,0,0,0,25,97,1,0,2,7,0,0,0,0
LaDainian Tomlinson,New York Jets,Houston Texans@New York Jets,17.0,0,0,0,0,0,0,12,36,0,0,7,71,0,0,0,0
BenJarvus Green-Ellis,New England Patriots,Indianapolis Colts@New England Patriots,16.0,0,0,0,0,0,0,21,96,1,0,1,4,0,0,0,0
Jamaal Charles,Kansas City Chiefs,Arizona Cardinals@Kansas City Chiefs,15.0,0,0,0,0,0,0,12,88,0,0,4,38,0,0,0,0
Chris Ivory,New Orleans Saints,Seattle Seahawks@New Orleans Saints,15.0,0,0,0,0,0,0,23,99,1,0,0,0,0,0,0,0
Chris Johnson,Tennessee Titans,Washington Commanders@Tennessee Titans,15.0,0,0,0,0,0,0,21,130,0,0,2,6,0,0,0,0
Keiland Williams,Washington Commanders,Washington Commanders@Tennessee Titans,14.0,0,0,0,0,0,0,23,68,0,0,6,27,0,0,0,0
Donald Brown,Indianapolis Colts,Indianapolis Colts@New England Patriots,13.0,0,0,0,0,0,0,17,68,0,0,3,40,0,0,0,0
Carnell Williams,Tampa Bay Buccaneers,Tampa Bay Buccaneers@San Francisco 49ers,12.0,0,0,0,0,0,0,7,51,1,0,1,7,0,0,0,0
Tim Hightower,Arizona Cardinals,Arizona Cardinals@Kansas City Chiefs,11.0,0,0,0,0,0,0,12,62,0,0,3,24,0,0,0,0
Maurice Morris,Detroit Lions,Detroit Lions@Dallas Cowboys,11.0,0,0,0,0,0,0,10,31,0,0,4,40,0,0,0,0
Frank Gore,San Francisco 49ers,Tampa Bay Buccaneers@San Francisco 49ers,10.0,0,0,0,0,0,0,12,23,0,0,5,37,0,0,0,0
Felix Jones,Dallas Cowboys,Detroit Lions@Dallas Cowboys,10.0,0,0,0,0,0,0,11,51,0,0,3,35,0,0,1,0
Rashard Mendenhall,Pittsburgh Steelers,Las Vegas Raiders@Pittsburgh Steelers,10.0,0,0,0,0,0,0,23,59,1,0,0,0,0,0,1,0
Isaac Redman,Pittsburgh Steelers,Las Vegas Raiders@Pittsburgh Steelers,10.0,0,0,0,0,0,0,5,27,0,0,1,16,1,0,0,0
Justin Forsett,Seattle Seahawks,Seattle Seahawks@New Orleans Saints,9.0,0,0,0,0,0,0,8,10,0,0,5,33,0,0,0,0
Brandon Jackson,Green Bay Packers,Green Bay Packers@Minnesota Vikings,9.0,0,0,0,0,0,0,14,28,0,0,4,38,0,0,0,0
Adrian Peterson,Minnesota Vikings,Green Bay Packers@Minnesota Vikings,9.0,0,0,0,0,0,0,14,72,0,0,1,16,0,0,0,0
LeGarrette Blount,Tampa Bay Buccaneers,Tampa Bay Buccaneers@San Francisco 49ers,8.0,0,0,0,0,0,0,26,82,0,0,0,0,0,0,0,0
Jacob Hester,Los Angeles Chargers,Denver Broncos@Los Angeles Chargers,8.0,0,0,0,0,0,0,3,7,0,0,2,9,1,0,0,0
Steven Jackson,Los Angeles Rams,Atlanta Falcons@Los Angeles Rams,8.0,0,0,0,0,0,0,11,54,0,0,3,7,0,0,0,0
Ladell Betts,Seattle Seahawks,Seattle Seahawks@New Orleans Saints,6.0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Michael Bush,Las Vegas Raiders,Las Vegas Raiders@Pittsburgh Steelers,6.0,0,0,0,0,0,0,4,33,0,0,2,18,0,0,0,0
Toby Gerhart,Minnesota Vikings,Green Bay Packers@Minnesota Vikings,6.0,0,0,0,0,0,0,1,3,0,0,3,41,0,0,1,0
Javarris James,New England Patriots,Indianapolis Colts@New England Patriots,6.0,0,0,0,0,0,0,3,3,0,0,4,24,0,0,0,0
Marshawn Lynch,Seattle Seahawks,Seattle Seahawks@New Orleans Saints,6.0,0,0,0,0,0,0,7,36,0,0,4,19,0,0,2,0
Marion Barber,Dallas Cowboys,Detroit Lions@Dallas Cowboys,5.0,0,0,0,0,0,0,13,36,0,0,1,15,0,0,0,0
Jahvid Best,Detroit Lions,Detroit Lions@Dallas Cowboys,5.0,0,0,0,0,0,0,3,2,0,0,4,15,0,0,0,0
Ronnie Brown,Miami Dolphins,Chicago Bears@Miami Dolphins,5.0,0,0,0,0,0,0,3,10,0,0,3,19,0,0,0,0
Brian Leonard,Cincinnati Bengals,Buffalo Bills@Cincinnati Bengals,5.0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Clinton Portis,Washington Commanders,Washington Commanders@Tennessee Titans,5.0,0,0,0,0,0,0,5,32,0,0,1,14,0,0,0,0
Jason Snelling,Atlanta Falcons,Atlanta Falcons@Los Angeles Rams,5.0,0,0,0,0,0,0,1,2,0,0,3,26,0,0,0,0
Brandon Jacobs,New York Giants,New York Giants@Philadelphia Eagles,4.0,0,0,0,0,0,0,5,10,0,0,1,22,0,0,0,0
Darren McFadden,Las Vegas Raiders,Las Vegas Raiders@Pittsburgh Steelers,4.0,0,0,0,0,0,0,10,14,0,0,2,16,0,0,0,0
Willis McGahee,Baltimore Ravens,Baltimore Ravens@Carolina Panthers,4.0,0,0,0,0,0,0,8,23,0,0,2,-10,0,0,0,0
Mewelde Moore,Pittsburgh Steelers,Las Vegas Raiders@Pittsburgh Steelers,4.0,0,0,0,0,0,0,1,2,0,0,3,17,0,0,0,0
Ahmad Bradshaw,New York Giants,New York Giants@Philadelphia Eagles,3.0,0,0,0,0,0,0,12,29,0,0,2,-5,0,0,1,0
Tashard Choice,Dallas Cowboys,Detroit Lions@Dallas Cowboys,3.0,0,0,0,0,0,0,2,7,0,0,2,14,0,0,0,0
Shonn Greene,New York Jets,Houston Texans@New York Jets,3.0,0,0,0,0,0,0,15,42,0,0,0,0,0,0,1,0
Le'Ron McClain,Baltimore Ravens,Baltimore Ravens@Carolina Panthers,3.0,0,0,0,0,0,0,2,5,0,0,2,11,0,0,0,0
Dimitri Nance,Green Bay Packers,Green Bay Packers@Minnesota Vikings,3.0,0,0,0,0,0,0,12,37,0,0,0,0,0,0,0,0
Owen Schmitt,Philadelphia Eagles,New York Giants@Philadelphia Eagles,3.0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Beanie Wells,Arizona Cardinals,Arizona Cardinals@Kansas City Chiefs,3.0,0,0,0,0,0,0,8,39,0,0,0,0,0,0,0,0
