Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Jason Witten,Dallas Cowboys,Jacksonville Jaguars@Dallas Cowboys,25.0,0,0,0,0,0,0,0,0,0,0,10,97,1,0,0,0
Antonio Gates,Los Angeles Chargers,Tennessee Titans@Los Angeles Chargers,23.0,0,0,0,0,0,0,0,0,0,0,5,123,1,0,0,0
Marcedes Lewis,Jacksonville Jaguars,Jacksonville Jaguars@Dallas Cowboys,19.0,0,0,0,0,0,0,0,0,0,0,2,51,2,0,0,0
Jacob Tamme,Indianapolis Colts,Houston Texans@Indianapolis Colts,18.0,0,0,0,0,0,0,0,0,0,0,6,64,1,0,0,0
Daniel Fells,Los Angeles Rams,Carolina Panthers@Los Angeles Rams,13.0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,0
Delanie Walker,San Francisco 49ers,Denver Broncos@San Francisco 49ers,13.0,0,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0
Craig Stevens,Tennessee Titans,Tennessee Titans@Los Angeles Chargers,10.0,0,0,0,0,0,0,0,0,0,0,2,29,1,0,0,0
Chris Cooley,Washington Commanders,Washington Commanders@Detroit Lions,8.0,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Brandon Pettigrew,Detroit Lions,Washington Commanders@Detroit Lions,8.0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
John Carlson,Seattle Seahawks,Seattle Seahawks@Las Vegas Raiders,7.0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
Tony Moeaki,Kansas City Chiefs,Buffalo Bills@Kansas City Chiefs,7.0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Visanthe Shiancoe,Minnesota Vikings,Minnesota Vikings@New England Patriots,7.0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
Anthony Fasano,Miami Dolphins,Miami Dolphins@Cincinnati Bengals,6.0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Dan Gronkowski,Denver Broncos,Denver Broncos@San Francisco 49ers,6.0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0
