Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Dwayne Bowe,Kansas City Chiefs,Kansas City Chiefs@Denver Broncos,43.0,0,0,0,0,0,0,0,0,0,0,13,186,2,0,0,0
Roddy White,Atlanta Falcons,Baltimore Ravens@Atlanta Falcons,37.0,0,0,0,0,0,0,0,0,0,0,12,138,2,0,0,0
Mike Wallace,Pittsburgh Steelers,New England Patriots@Pittsburgh Steelers,33.0,0,0,0,0,0,0,0,0,0,0,8,136,2,0,0,0
Andre Johnson,Houston Texans,Houston Texans@Jacksonville Jaguars,29.0,0,0,0,0,0,0,0,0,0,0,9,146,1,0,0,0
Mike Thomas,Jacksonville Jaguars,Houston Texans@Jacksonville Jaguars,29.0,0,0,0,0,0,0,2,18,0,0,8,149,1,0,0,0
Calvin Johnson,Detroit Lions,Detroit Lions@Buffalo Bills,28.0,0,0,0,0,0,0,0,0,0,0,10,128,1,0,0,0
Brandon Lloyd,Denver Broncos,Kansas City Chiefs@Denver Broncos,27.0,0,0,0,0,0,0,0,0,0,0,6,90,2,0,0,0
Mario Manningham,New York Giants,Dallas Cowboys@New York Giants,25.0,0,0,0,0,0,0,0,0,0,0,10,91,1,0,0,0
Mike Williams,Seattle Seahawks,Seattle Seahawks@Arizona Cardinals,25.0,0,0,0,0,0,0,1,0,0,0,11,145,0,0,0,0
Chad Johnson,Cincinnati Bengals,Cincinnati Bengals@Indianapolis Colts,21.0,0,0,0,0,0,0,0,0,0,0,7,86,1,0,0,0
Kevin Walter,Houston Texans,Houston Texans@Jacksonville Jaguars,21.0,0,0,0,0,0,0,0,0,0,0,6,90,1,0,0,0
Danny Amendola,Los Angeles Rams,Los Angeles Rams@San Francisco 49ers,19.0,0,0,0,0,0,0,2,12,0,0,7,51,1,0,0,0
Dez Bryant,Dallas Cowboys,Dallas Cowboys@New York Giants,19.0,0,0,0,0,0,0,0,0,0,0,3,104,1,0,0,0
Early Doucet,Arizona Cardinals,Seattle Seahawks@Arizona Cardinals,19.0,0,0,0,0,0,0,1,2,0,0,6,71,1,0,0,0
Jason Avant,Philadelphia Eagles,Philadelphia Eagles@Washington Commanders,18.0,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,0
Larry Fitzgerald,Arizona Cardinals,Seattle Seahawks@Arizona Cardinals,18.0,0,0,0,0,0,0,0,0,0,0,7,91,0,1,0,0
Santonio Holmes,New York Jets,New York Jets@Cleveland Browns,18.0,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,0
Jeremy Maclin,Philadelphia Eagles,Philadelphia Eagles@Washington Commanders,18.0,0,0,0,0,0,0,1,11,0,0,4,79,1,0,0,0
DeSean Jackson,Philadelphia Eagles,Philadelphia Eagles@Washington Commanders,17.0,0,0,0,0,0,0,1,5,0,0,2,98,1,0,0,0
Anquan Boldin,Baltimore Ravens,Baltimore Ravens@Atlanta Falcons,16.0,0,0,0,0,0,0,0,0,0,0,5,50,1,0,0,0
Deon Butler,Seattle Seahawks,Seattle Seahawks@Arizona Cardinals,16.0,0,0,0,0,0,0,1,4,0,0,4,66,1,0,0,0
Michael Crabtree,San Francisco 49ers,Los Angeles Rams@San Francisco 49ers,16.0,0,0,0,0,0,0,0,0,0,0,4,61,1,0,0,0
Percy Harvin,Minnesota Vikings,Minnesota Vikings@Chicago Bears,16.0,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0
Wes Welker,New England Patriots,New England Patriots@Pittsburgh Steelers,16.0,0,0,0,0,0,0,0,0,0,0,8,89,0,0,0,0
