Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
San Diego ChargersSD,SD,ARI@SD,28.0,9.0,2,0,1,0,1,10,87,47,134,,,,,,
New York GiantsNYG,NYG,CHI@NYG,26.0,10.0,2,0,1,0,0,3,51,59,110,,,,,,
San Francisco 49ersSF,SF,SF@ATL,19.0,3.0,2,0,0,1,1,16,259,98,357,,,,,,
S,STL,SEA@STL,18.0,4.0,1,0,1,0,0,3,193,64,257,,,,,,
Green Bay PackersGB,GB,DET@GB,16.0,3.0,2,0,1,0,1,26,308,123,431,,,,,,
Tennessee TitansTEN,TEN,DEN@TEN,15.0,6.0,1,0,0,0,1,26,308,19,327,,,,,,
Cleveland BrownsCLE,CLE,CIN@CLE,14.0,4.0,0,0,2,1,0,20,346,67,413,,,,,,
Washington RedskinsWAS,WAS,WAS@PHI,12.0,1.0,1,0,1,0,0,12,243,110,353,,,,,,
Chicago BearsCHI,CHI,CHI@NYG,12.0,2.0,0,0,3,0,0,17,183,189,372,,,,,,
Atlanta FalconsATL,ATL,SF@ATL,11.0,1.0,2,0,1,0,0,14,181,81,262,,,,,,
New York JetsNYJ,NYJ,NYJ@BUF,11.0,3.0,0,0,2,0,0,14,109,114,223,,,,,,
Houston TexansHOU,HOU,HOU@OAK,11.0,4.0,2,0,1,0,0,24,245,118,363,,,,,,
Detroit LionsDET,DET,DET@GB,10.0,2.0,2,0,2,0,0,28,169,92,261,,,,,,
Denver BroncosDEN,DEN,DEN@TEN,10.0,2.0,0,0,2,0,0,20,167,121,288,,,,,,
Carolina PanthersCAR,CAR,CAR@NO,10.0,2.0,0,0,2,0,0,16,262,121,383,,,,,,
Seattle SeahawksSEA,SEA,SEA@STL,10.0,4.0,1,0,0,0,0,20,261,88,349,,,,,,
New Orleans SaintsNO,NO,CAR@NO,9.0,3.0,0,0,1,0,0,14,133,118,251,,,,,,
Pittsburgh SteelersPIT,PIT,BAL@PIT,9.0,1.0,1,0,1,0,0,17,250,70,320,,,,,,
Arizona CardinalsARI,ARI,ARI@SD,9.0,1.0,0,0,1,0,1,41,239,180,419,,,,,,
Baltimore RavensBAL,BAL,BAL@PIT,8.0,2.0,1,0,0,0,0,14,126,84,210,,,,,,
Philadelphia EaglesPHI,PHI,WAS@PHI,7.0,1.0,1,0,0,0,0,17,124,169,293,,,,,,
Jacksonville JaguarsJAX,JAX,IND@JAX,5.0,1.0,1,0,1,0,0,28,348,58,406,,,,,,
Cincinnati BengalsCIN,CIN,CIN@CLE,4.0,1.0,1,0,0,0,0,23,179,116,295,,,,,,
Miami DolphinsMIA,MIA,NE@MIA,3.0,3.0,0,0,0,0,0,41,146,119,265,,,,,,
Indianapolis ColtsIND,IND,IND@JAX,0.0,0.0,0,0,0,0,0,31,163,174,337,,,,,,
Oakland RaidersOAK,OAK,HOU@OAK,0.0,0.0,0,0,0,0,0,31,192,249,441,,,,,,
Buffalo BillsBUF,BUF,NYJ@BUF,0.0,0.0,0,0,0,0,0,38,171,273,444,,,,,,
