Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David Akers,PHI,NYG@PHI,13.0,1,1,5,4,0,,,,,,,,,,,
Billy Cundiff,BAL,BAL@CAR,13.0,4,4,3,3,0,,,,,,,,,,,
Graham Gano,WAS,WAS@TEN,13.0,1,1,6,4,0,,,,,,,,,,,
Olindo Mare,SEA,SEA@NO,13.0,1,1,4,4,0,,,,,,,,,,,
Nick Folk,NYJ,HOU@NYJ,12.0,3,3,4,3,0,,,,,,,,,,,
Robbie Gould,CHI,CHI@MIA,12.0,1,1,3,3,1,,,,,,,,,,,
Rob Bironas,TEN,WAS@TEN,10.0,1,1,3,3,0,,,,,,,,,,,
Neil Rackers,HOU,HOU@NYJ,9.0,3,3,2,2,0,,,,,,,,,,,
Phil Dawson,CLE,CLE@JAX,8.0,2,2,4,2,0,,,,,,,,,,,
Josh Brown,STL,ATL@STL,7.0,2,2,1,1,1,,,,,,,,,,,
Mason Crosby,GB,GB@MIN,7.0,4,4,1,1,0,,,,,,,,,,,
Jay Feely,ARI,ARI@KC,7.0,1,1,2,2,0,,,,,,,,,,,
Shayne Graham,NE,IND@NE,7.0,4,4,1,1,0,,,,,,,,,,,
John Kasay,CAR,BAL@CAR,7.0,1,1,2,2,0,,,,,,,,,,,
Rian Lindell,BUF,BUF@CIN,7.0,7,7,1,0,0,,,,,,,,,,,
Aaron Pettrey,CIN,BUF@CIN,7.0,4,4,2,1,0,,,,,,,,,,,
Ryan Succop,KC,ARI@KC,7.0,4,4,1,1,0,,,,,,,,,,,
Josh Scobee,JAX,CLE@JAX,6.0,3,3,1,1,0,,,,,,,,,,,
David Buehler,DAL,DET@DAL,5.0,5,5,0,0,0,,,,,,,,,,,
Nate Kaeding,SD,DEN@SD,5.0,5,5,1,0,0,,,,,,,,,,,
Dave Rayner,DET,DET@DAL,5.0,2,2,1,1,0,,,,,,,,,,,
Shaun Suisham,PIT,OAK@PIT,5.0,5,5,0,0,0,,,,,,,,,,,
Lawrence Tynes,NYG,NYG@PHI,5.0,2,2,1,1,0,,,,,,,,,,,
Garrett Hartley,NO,SEA@NO,4.0,4,4,1,0,0,,,,,,,,,,,
Adam Vinatieri,IND,IND@NE,4.0,4,4,0,0,0,,,,,,,,,,,
Connor Barth,TB,TB@SF,3.0,3,3,1,0,0,,,,,,,,,,,
Sebastian Janikowski,OAK,OAK@PIT,3.0,0,0,1,1,0,,,,,,,,,,,
Ryan Longwell,MIN,GB@MIN,3.0,0,0,1,1,0,,,,,,,,,,,
Matt Prater,DEN,DEN@SD,2.0,2,2,0,0,0,,,,,,,,,,,
