Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David Garrard,JAX,JAX@DAL,39.0,21,17,260,4,0,0,2,2,1,0,0,0,0,0,1,0
Calvin Johnson,DET,WAS@DET,37.0,0,0,0,0,0,0,0,0,0,0,9,101,3,0,0,0
Matthew Stafford,DET,WAS@DET,32.0,45,26,212,4,1,1,0,0,0,0,0,0,0,0,0,0
Arian Foster,HOU,HOU@IND,31.0,0,0,0,0,0,0,15,102,1,0,9,65,0,0,0,0
Brandon Lloyd,DEN,DEN@SF,29.0,0,0,0,0,0,0,0,0,0,0,7,169,1,0,0,0
Mike Sims-Walker,JAX,JAX@DAL,29.0,0,0,0,0,0,0,0,0,0,0,8,153,1,0,0,0
Jamaal Charles,KC,BUF@KC,27.0,0,0,0,0,0,0,22,177,0,0,4,61,0,0,0,0
LeGarrette Blount,TB,TB@ARI,25.0,0,0,0,0,0,0,22,120,2,0,2,9,0,0,1,0
Larry Fitzgerald,ARI,TB@ARI,25.0,0,0,0,0,0,0,0,0,0,0,6,72,2,0,0,0
BenJarvus Green-Ellis,NE,MIN@NE,25.0,0,0,0,0,0,0,17,112,2,0,1,11,0,0,0,0
Adrian Peterson,MIN,MIN@NE,25.0,0,0,0,0,0,0,25,92,1,0,5,50,0,0,0,0
Jason Witten,DAL,JAX@DAL,25.0,0,0,0,0,0,0,0,0,0,0,10,97,1,0,0,0
Jason Campbell,OAK,SEA@OAK,24.0,27,15,310,2,0,0,4,4,0,0,0,0,0,0,0,0
Darrius Heyward-Bey,OAK,SEA@OAK,24.0,0,0,0,0,0,0,1,30,0,0,5,105,1,0,0,0
Steve Breaston,ARI,TB@ARI,23.0,0,0,0,0,0,0,1,14,0,0,8,147,0,0,0,0
Antonio Gates,SD,TEN@SD,23.0,0,0,0,0,0,0,0,0,0,0,5,123,1,0,0,0
Andre Johnson,HOU,HOU@IND,23.0,0,0,0,0,0,0,0,0,0,0,7,106,1,0,0,0
Terrell Owens,CIN,MIA@CIN,23.0,0,0,0,0,0,0,0,0,0,0,5,65,2,0,0,0
Peyton Manning,IND,HOU@IND,22.0,45,26,268,2,0,0,4,3,0,0,0,0,0,0,0,0
Philip Rivers,SD,TEN@SD,22.0,36,27,305,2,1,0,2,3,0,0,0,0,0,0,0,0
Vince Young,TEN,TEN@SD,22.0,21,10,253,2,0,0,2,3,0,0,0,0,0,0,0,0
Drew Brees,NO,PIT@NO,21.0,44,34,305,2,1,0,3,-2,0,0,0,0,0,0,1,0
Marcel Reece,OAK,SEA@OAK,21.0,0,0,0,0,0,0,2,32,0,0,3,90,1,0,0,0
Nate Washington,TEN,TEN@SD,21.0,0,0,0,0,0,0,0,0,0,0,4,117,1,0,0,0
Mike Williams,TB,TB@ARI,20.0,0,0,0,0,0,0,0,0,0,0,4,105,1,0,0,0
Sam Bradford,STL,CAR@STL,19.0,32,25,191,2,0,0,5,2,0,0,0,0,0,0,0,0
Marques Colston,NO,PIT@NO,19.0,0,0,0,0,0,0,1,1,0,0,6,75,1,0,0,0
Josh Freeman,TB,TB@ARI,19.0,25,18,278,1,0,0,2,22,0,0,0,0,0,0,0,0
Marcedes Lewis,JAX,JAX@DAL,19.0,0,0,0,0,0,0,0,0,0,0,2,51,2,0,0,0
Troy Smith,DEN,DEN@SF,19.0,19,12,196,1,0,0,4,2,1,0,0,0,0,0,0,0
Brandon Tate,NE,MIN@NE,19.0,0,0,0,0,0,0,0,0,0,0,3,101,1,0,0,0
Miles Austin,DAL,JAX@DAL,18.0,0,0,0,0,0,0,0,0,0,0,7,117,0,0,0,0
Frank Gore,SF,DEN@SF,18.0,0,0,0,0,0,0,29,118,1,0,1,7,0,0,0,0
Percy Harvin,MIN,MIN@NE,18.0,0,0,0,0,0,0,0,0,0,0,6,104,0,1,0,0
Chris Johnson,TEN,TEN@SD,18.0,0,0,0,0,0,0,15,59,1,0,5,24,0,0,0,0
Lance Moore,NO,PIT@NO,18.0,0,0,0,0,0,0,0,0,0,0,7,54,1,0,0,0
Kyle Orton,DEN,DEN@SF,18.0,40,28,370,1,1,0,3,18,0,0,0,0,0,0,1,0
Jacob Tamme,IND,HOU@IND,18.0,0,0,0,0,0,0,0,0,0,0,6,64,1,0,0,0
Mike Tolbert,SD,TEN@SD,18.0,0,0,0,0,0,0,11,63,1,0,4,27,0,0,0,0
Michael Bush,OAK,SEA@OAK,17.0,0,0,0,0,0,0,9,51,1,0,1,55,0,0,0,0
Carson Palmer,CIN,MIA@CIN,17.0,38,17,156,2,1,0,3,13,0,0,0,0,0,0,0,0
Darren Sproles,SD,TEN@SD,17.0,0,0,0,0,0,0,4,41,0,0,4,36,1,0,0,0
Ryan Fitzpatrick,BUF,BUF@KC,16.0,48,24,223,1,1,0,6,43,0,0,0,0,0,0,0,0
Maurice Jones-Drew,JAX,JAX@DAL,16.0,0,0,0,0,0,0,27,135,0,0,2,13,0,0,0,0
Donovan McNabb,WAS,WAS@DET,16.0,30,17,210,1,1,0,4,45,0,0,0,0,0,0,0,0
Rashard Mendenhall,PIT,PIT@NO,16.0,0,0,0,0,0,0,15,71,1,0,2,14,0,0,0,0
Steve Smith,CAR,CAR@STL,16.0,0,0,0,0,0,0,0,0,0,0,9,85,0,0,1,0
Danny Woodhead,NE,MIN@NE,16.0,0,0,0,0,0,0,6,13,1,0,5,45,0,0,0,0
Tom Brady,NE,MIN@NE,15.0,27,16,240,1,0,0,4,-3,0,0,0,0,0,0,0,0
Dez Bryant,DAL,JAX@DAL,15.0,0,0,0,0,0,0,0,0,0,0,7,84,0,0,0,0
Darren McFadden,OAK,SEA@OAK,15.0,0,0,0,0,0,0,21,111,0,0,2,24,0,0,0,0
Danny Amendola,STL,CAR@STL,14.0,0,0,0,0,0,0,0,0,0,0,6,28,1,0,0,0
Michael Crabtree,SF,DEN@SF,14.0,0,0,0,0,0,0,0,0,0,0,3,53,1,0,0,0
Pierre Garcon,IND,HOU@IND,14.0,0,0,0,0,0,0,0,0,0,0,7,78,0,0,0,0
Greg Jennings,GB,GB@NYJ,14.0,0,0,0,0,0,0,0,0,0,0,6,81,0,0,0,0
Stevie Johnson,BUF,BUF@KC,14.0,0,0,0,0,0,0,0,0,0,0,5,37,1,0,0,0
Jon Kitna,DAL,JAX@DAL,14.0,49,34,379,1,4,0,5,12,0,0,0,0,0,0,0,0
Brandon LaFell,CAR,CAR@STL,14.0,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
Ryan Mathews,SD,TEN@SD,14.0,0,0,0,0,0,0,15,43,1,0,3,11,0,0,0,0
Mike Thomas,JAX,JAX@DAL,14.0,0,0,0,0,0,0,1,9,0,0,4,41,1,0,0,0
Matt Cassel,KC,BUF@KC,13.0,26,14,152,1,0,0,2,13,0,0,0,0,0,0,0,0
Daniel Fells,STL,CAR@STL,13.0,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,0
Brian Hartline,MIA,MIA@CIN,13.0,0,0,0,0,0,0,1,30,0,0,5,53,0,0,0,0
Robert Meachem,NO,PIT@NO,13.0,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
LaDainian Tomlinson,NYJ,GB@NYJ,13.0,0,0,0,0,0,0,16,54,0,0,5,37,0,0,0,0
