Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Ben Roethlisberger,PIT,OAK@PIT,40.0,29,18,275,3,0,0,3,55,1,0,0,0,0,0,0,0
Aaron Rodgers,GB,GB@MIN,38.0,31,22,301,4,0,0,3,21,0,0,0,0,0,0,0,0
Drew Brees,NO,SEA@NO,35.0,43,29,382,4,2,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,BUF,BUF@CIN,33.0,34,21,316,4,2,0,1,11,0,0,0,0,0,0,0,0
Jon Kitna,DAL,DET@DAL,33.0,24,18,147,3,0,0,4,40,1,0,0,0,0,0,0,0
Peyton Manning,IND,IND@NE,33.0,52,38,396,4,3,0,0,0,0,0,0,0,0,0,0,0
Philip Rivers,SD,DEN@SD,31.0,24,15,233,4,1,0,4,6,0,0,0,0,0,0,0,0
Mark Sanchez,NYJ,HOU@NYJ,30.0,38,22,315,3,1,0,2,22,0,0,0,0,0,0,0,0
Matt Ryan,ATL,ATL@STL,24.0,39,26,253,2,0,1,1,8,0,0,0,0,0,0,0,0
Matt Hasselbeck,SEA,SEA@NO,21.0,44,32,366,1,0,0,1,12,0,0,0,0,0,0,0,0
Shaun Hill,DET,DET@DAL,21.0,47,32,289,2,1,0,0,0,0,0,0,0,0,0,0,0
Sam Bradford,STL,ATL@STL,20.0,42,27,233,2,1,0,1,17,0,0,0,0,0,0,0,0
Michael Vick,PHI,NYG@PHI,20.0,38,24,258,0,0,1,11,34,1,0,0,0,0,0,1,0
Tom Brady,NE,IND@NE,19.0,25,19,186,2,0,0,4,-2,0,0,0,0,0,0,0,0
Matt Cassel,KC,ARI@KC,19.0,24,15,193,2,0,0,0,0,0,0,0,0,0,0,0,0
Donovan McNabb,WAS,WAS@TEN,19.0,50,30,376,1,1,0,1,4,0,0,0,0,0,0,0,0
Josh Freeman,TB,TB@SF,18.0,20,13,136,2,0,0,5,15,0,0,0,0,0,0,0,0
Carson Palmer,CIN,BUF@CIN,18.0,34,19,230,2,2,0,2,12,0,0,0,0,0,0,0,0
Derek Anderson,ARI,ARI@KC,17.0,46,25,295,1,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,BAL,BAL@CAR,17.0,33,24,301,1,0,0,1,0,0,0,0,0,0,0,1,0
Colt McCoy,CLE,CLE@JAX,16.0,28,17,241,1,1,0,4,39,0,0,0,0,0,0,0,0
Matt Schaub,HOU,HOU@NYJ,16.0,33,19,254,1,0,0,1,3,0,0,0,0,0,0,0,0
David Garrard,JAX,CLE@JAX,15.0,34,20,254,2,3,0,3,9,0,0,0,0,0,0,1,0
Eli Manning,NYG,NYG@PHI,12.0,33,20,147,2,3,0,2,22,0,0,0,0,0,0,1,0
Kyle Orton,DEN,DEN@SD,12.0,38,24,217,1,1,0,1,4,0,0,0,0,0,0,0,0
Brian St. PierreB. S,CAR,BAL@CAR,8.0,28,13,173,1,2,0,0,0,0,0,0,0,0,0,0,0
Troy Smith,TB,TB@SF,7.0,31,16,148,0,1,0,5,45,0,0,0,0,0,0,0,0
Tyler Thigpen,MIA,CHI@MIA,7.0,29,17,187,0,1,0,6,27,0,0,0,0,0,0,0,0
Vince Young,TEN,WAS@TEN,7.0,16,12,165,0,0,0,3,20,0,0,0,0,0,0,1,0
Jay Cutler,CHI,CHI@MIA,6.0,25,16,156,0,1,0,4,28,0,0,0,0,0,0,0,0
Brett Favre,MIN,GB@MIN,6.0,38,17,208,0,1,0,1,0,0,0,0,0,0,0,0,0
Bruce Gradkowski,OAK,OAK@PIT,2.0,24,13,98,0,1,0,1,12,0,0,0,0,0,0,0,0
Jason Campbell,OAK,OAK@PIT,0.0,19,7,70,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Flynn,GB,GB@MIN,0.0,1,1,5,0,0,0,1,5,0,0,0,0,0,0,0,0
Josh Johnson,TB,TB@SF,0.0,1,1,7,0,0,0,1,7,0,0,0,0,0,0,0,0
Jordan Palmer,CIN,BUF@CIN,0.0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusty Smith,TEN,WAS@TEN,0.0,9,3,62,0,1,0,0,0,0,0,0,0,0,0,0,0
