Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Peyton Hillis,CLE,CAR@CLE,43.0,1,0,0,0,0,0,26,131,3,0,6,63,0,0,0,0
Arian Foster,HOU,TEN@HOU,30.0,0,0,0,0,0,0,30,143,0,0,9,75,0,0,0,0
Mike Goodson,CAR,CAR@CLE,27.0,0,0,0,0,0,0,14,55,1,0,8,81,0,0,0,0
Fred Jackson,BUF,PIT@BUF,26.0,0,0,0,0,0,0,12,59,0,0,5,104,1,0,0,0
Jamaal Charles,KC,KC@SEA,24.0,0,0,0,0,0,0,22,173,1,0,2,3,0,0,1,0
Maurice Morris,DET,NE@DET,24.0,0,0,0,0,0,0,9,55,2,0,5,20,0,0,0,0
Knowshon Moreno,DEN,STL@DEN,22.0,0,0,0,0,0,0,12,56,1,0,6,62,0,0,1,0
Rashard Mendenhall,PIT,PIT@BUF,20.0,0,0,0,0,0,0,36,151,1,0,0,0,0,0,1,0
LeSean McCoy,PHI,PHI@CHI,19.0,0,0,0,0,0,0,10,53,0,0,8,67,0,0,0,0
Ray Rice,BAL,TB@BAL,19.0,0,0,0,0,0,0,19,82,0,0,7,47,0,0,0,0
Mike Tolbert,SD,SD@IND,19.0,0,0,0,0,0,0,26,103,1,0,2,15,0,0,0,0
Brian Westbrook,SF,SF@ARI,19.0,0,0,0,0,0,0,23,136,1,0,0,0,0,0,0,0
Michael Turner,ATL,GB@ATL,18.0,0,0,0,0,0,0,23,110,1,0,1,4,0,0,0,0
BenJarvus Green-Ellis,NE,NE@DET,17.0,0,0,0,0,0,0,12,59,2,0,0,0,0,0,0,0
Felix Jones,DAL,NO@DAL,17.0,0,0,0,0,0,0,13,44,0,0,7,69,0,0,0,0
Ricky Williams,MIA,MIA@OAK,16.0,0,0,0,0,0,0,20,95,1,0,1,3,0,0,0,0
Matt Forte,CHI,PHI@CHI,15.0,0,0,0,0,0,0,14,117,0,0,2,22,0,0,0,0
Toby Gerhart,MIN,MIN@WAS,15.0,0,0,0,0,0,0,22,76,1,0,2,5,0,0,0,0
Chris Ivory,NO,NO@DAL,15.0,0,0,0,0,0,0,7,38,2,0,0,0,0,0,0,0
Maurice Jones-Drew,JAX,JAX@NYG,15.0,0,0,0,0,0,0,21,113,0,0,4,9,0,0,0,0
Ahmad Bradshaw,NYG,JAX@NYG,13.0,0,0,0,0,0,0,9,49,0,1,4,34,0,0,0,0
Darren McFadden,OAK,MIA@OAK,13.0,0,0,0,0,0,0,8,2,0,0,7,63,0,0,0,0
Adrian Peterson,MIN,MIN@WAS,13.0,0,0,0,0,0,0,6,36,1,0,1,34,0,0,0,0
Anthony Dixon,SF,SF@ARI,12.0,0,0,0,0,0,0,14,54,1,0,1,-5,0,0,0,0
Donald Brown,IND,SD@IND,11.0,0,0,0,0,0,0,11,24,0,0,5,47,0,0,0,0
Patrick Cobbs,MIA,MIA@OAK,11.0,0,0,0,0,0,0,0,0,0,0,2,32,1,0,0,0
Rashad Jennings,JAX,JAX@NYG,11.0,0,0,0,0,0,0,7,53,1,0,0,0,0,0,0,0
Thomas Jones,KC,KC@SEA,10.0,0,0,0,0,0,0,20,68,0,0,3,14,0,0,0,0
Carnell Williams,TB,TB@BAL,10.0,0,0,0,0,0,0,4,19,0,0,5,41,0,0,0,0
Marion Barber,DAL,NO@DAL,9.0,0,0,0,0,0,0,10,19,1,0,2,8,0,0,0,0
Aaron Brown,DET,NE@DET,9.0,0,0,0,0,0,0,13,36,0,0,4,29,0,0,0,0
Shonn Greene,NYJ,CIN@NYJ,9.0,0,0,0,0,0,0,18,70,0,0,1,11,0,0,0,0
Julius Jones,NO,NO@DAL,9.0,0,0,0,0,0,0,10,45,0,0,3,21,0,0,0,0
Jonathan Stewart,CAR,CAR@CLE,9.0,0,0,0,0,0,0,12,98,0,0,0,0,0,0,0,0
Ronnie Brown,MIA,MIA@OAK,8.0,0,0,0,0,0,0,24,85,0,0,0,0,0,0,0,0
Steven Jackson,STL,STL@DEN,8.0,0,0,0,0,0,0,29,72,0,0,1,-6,0,0,0,0
Brandon Jacobs,NYG,JAX@NYG,8.0,0,0,0,0,0,0,14,87,0,0,0,0,0,0,0,0
Mewelde Moore,PIT,PIT@BUF,8.0,0,0,0,0,0,0,3,12,0,0,4,33,0,0,0,0
Jacob Hester,SD,SD@IND,7.0,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0
Jason Snelling,ATL,GB@ATL,7.0,0,0,0,0,0,0,4,7,0,0,4,32,0,0,0,0
Darren Sproles,SD,SD@IND,7.0,0,0,0,0,0,0,4,17,0,0,4,24,0,0,0,0
LaDainian Tomlinson,NYJ,CIN@NYJ,7.0,0,0,0,0,0,0,13,49,0,0,2,14,0,0,0,0
Tashard Choice,DAL,NO@DAL,6.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Kenneth Darby,STL,STL@DEN,6.0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0
Brandon Jackson,GB,GB@ATL,6.0,0,0,0,0,0,0,10,26,0,0,3,10,0,0,0,0
Beanie Wells,ARI,SF@ARI,6.0,0,0,0,0,0,0,5,13,0,0,1,43,0,0,0,0
Keiland Williams,WAS,MIN@WAS,6.0,0,0,0,0,0,0,3,5,0,0,4,21,0,0,0,0
Danny Woodhead,NE,NE@DET,6.0,0,0,0,0,0,0,8,32,0,0,2,13,0,0,0,0
Cedric Benson,CIN,CIN@NYJ,5.0,0,0,0,0,0,0,18,41,0,0,1,0,0,0,0,0
LeGarrette Blount,TB,TB@BAL,5.0,0,0,0,0,0,0,13,55,0,0,0,0,0,0,0,0
Frank Gore,SF,SF@ARI,5.0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0
Marshawn Lynch,SEA,KC@SEA,5.0,0,0,0,0,0,0,7,20,0,0,2,13,0,0,0,0
Willis McGahee,BAL,TB@BAL,5.0,0,0,0,0,0,0,4,12,0,0,3,13,0,0,0,0
Javarris James,SD,SD@IND,4.0,0,0,0,0,0,0,2,0,0,0,3,22,0,0,1,0
Derrick Ward,TEN,TEN@HOU,4.0,0,0,0,0,0,0,7,47,0,0,0,0,0,0,0,0
Lance Ball,DEN,STL@DEN,3.0,0,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0
Quinton Ganther,BUF,PIT@BUF,3.0,0,0,0,0,0,0,3,11,0,0,2,9,0,0,0,0
Javon Ringer,TEN,TEN@HOU,3.0,0,0,0,0,0,0,4,27,0,0,1,4,0,0,0,0
LaRod Stephens-Howling,ARI,SF@ARI,3.0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Mike Cox,KC,KC@SEA,2.0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
James Davis,WAS,MIN@WAS,2.0,0,0,0,0,0,0,6,11,0,0,1,4,0,0,0,0
Jerome Felton,DET,NE@DET,2.0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Tony Fiammetta,CAR,CAR@CLE,2.0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Brandon James,IND,SD@IND,2.0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Chris Johnson,TEN,TEN@HOU,2.0,0,0,0,0,0,0,7,5,0,0,2,2,0,0,0,0
Spencer Larsen,DEN,STL@DEN,2.0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Brian Leonard,CIN,CIN@NYJ,2.0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Sammy Morris,NE,NE@DET,2.0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Ovie Mughelli,ATL,GB@ATL,2.0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Isaac Redman,PIT,PIT@BUF,2.0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0
Mike Bell,CLE,CAR@CLE,1.0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0
Correll Buckhalter,DEN,STL@DEN,1.0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
Reggie Bush,NO,NO@DAL,1.0,0,0,0,0,0,0,1,1,0,0,1,12,0,0,1,0
Justin Forsett,SEA,KC@SEA,1.0,0,0,0,0,0,0,3,2,0,0,1,8,0,0,0,0
Ahmard Hall,TEN,TEN@HOU,1.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
Jerome Harrison,PHI,PHI@CHI,1.0,0,0,0,0,0,0,1,2,0,0,1,4,0,0,0,0
Gartrell Johnson,GB,GB@ATL,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Greg Jones,JAX,JAX@NYG,1.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
John Kuhn,GB,GB@ATL,1.0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Vonta Leach,HOU,TEN@HOU,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Moran Norris,SF,SF@ARI,1.0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0
Naufahu Tahi,MIN,MIN@WAS,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
D.J. Ware,NYG,JAX@NYG,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Leon Washington,SEA,KC@SEA,1.0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Curtis Brinkley,SD,SD@IND,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Eldra Buckley,PHI,PHI@CHI,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Michael Bush,OAK,MIA@OAK,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tim Hightower,ARI,SF@ARI,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Dimitri Nance,ATL,GB@ATL,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lousaka Polite,MIA,MIA@OAK,0.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Marcel Reece,OAK,MIA@OAK,0.0,0,0,0,0,0,0,1,-2,0,0,1,2,0,0,1,0
Chester Taylor,CHI,PHI@CHI,0.0,0,0,0,0,0,0,6,-3,0,0,0,0,0,0,0,0
