Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Rob Gronkowski,NE,NE@PIT,30.0,0,0,0,0,0,0,0,0,0,0,5,72,3,0,0,0
Jermaine Gresham,CIN,CIN@IND,22.0,0,0,0,0,0,0,0,0,0,0,9,85,1,0,1,0
Anthony Fasano,MIA,TEN@MIA,21.0,0,0,0,0,0,0,0,0,0,0,5,107,1,0,0,0
Kevin Boss,NYG,DAL@NYG,19.0,0,0,0,0,0,0,0,0,0,0,5,81,1,0,0,0
Kellen Winslow,TB,CAR@TB,18.0,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
Zach Miller,JAX,HOU@JAX,17.0,0,0,0,0,0,0,0,0,0,0,4,79,1,0,0,0
Todd Heap,BAL,BAL@ATL,15.0,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0
Jacob Tamme,IND,CIN@IND,14.0,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0
Greg Olsen,CHI,MIN@CHI,12.0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0
Delanie Walker,SF,STL@SF,12.0,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0
Benjamin Watson,CLE,NYJ@CLE,12.0,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0
Vernon Davis,SF,STL@SF,11.0,0,0,0,0,0,0,0,0,0,0,4,79,0,0,0,0
Heath Miller,PIT,NE@PIT,11.0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
Bo Scaife,TEN,TEN@MIA,11.0,0,0,0,0,0,0,0,0,0,0,7,51,0,0,1,0
Marcedes Lewis,JAX,HOU@JAX,10.0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Brandon Pettigrew,DET,DET@BUF,9.0,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
Fred Davis,WAS,PHI@WAS,8.0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0
Kellen Davis,CHI,MIN@CHI,8.0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0
John Gilmore,TB,CAR@TB,8.0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0
Chris Baker,SEA,SEA@ARI,7.0,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,0
Tony Gonzalez,ATL,BAL@ATL,7.0,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
Tony Scheffler,DET,DET@BUF,6.0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Visanthe Shiancoe,MIN,MIN@CHI,6.0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
Chris Cooley,WAS,PHI@WAS,5.0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Dustin Keller,NYJ,NYJ@CLE,5.0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Martellus Bennett,DAL,DAL@NYG,4.0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0
Michael Hoomanawanui,STL,STL@SF,4.0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Tony Moeaki,KC,KC@DEN,4.0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0
Leonard Pope,KC,KC@DEN,4.0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Dante Rosario,CAR,CAR@TB,4.0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Travis Beckum,NYG,DAL@NYG,3.0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Joel Dreessen,HOU,HOU@JAX,3.0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,1,0
Daniel Fells,STL,STL@SF,3.0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Brent Celek,PHI,PHI@WAS,2.0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Reggie Kelly,CIN,CIN@IND,2.0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Evan Moore,CLE,NYJ@CLE,2.0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Ben Patrick,ARI,SEA@ARI,2.0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Robert Royal,CLE,NYJ@CLE,2.0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Stephen Spach,ARI,SEA@ARI,2.0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Alge Crumpler,NE,NE@PIT,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Ed Dickson,BAL,BAL@ATL,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jeff Dugan,MIN,MIN@CHI,1.0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Jeff King,CAR,CAR@TB,1.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Jim Kleinsasser,MIN,MIN@CHI,1.0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Michael Palmer,ATL,BAL@ATL,1.0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Gijon Robinson,IND,CIN@IND,1.0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Jason Witten,DAL,DAL@NYG,1.0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
