Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Greg Jennings,GB,GB@MIN,40.0,0,0,0,0,0,0,0,0,0,0,7,152,3,0,0,0
Stevie Johnson,BUF,BUF@CIN,39.0,0,0,0,0,0,0,0,0,0,0,8,137,3,0,0,0
Marques Colston,NO,SEA@NO,31.0,0,0,0,0,0,0,0,0,0,0,8,113,2,0,0,0
Santonio Holmes,NYJ,HOU@NYJ,31.0,0,0,0,0,0,0,0,0,0,0,7,126,2,0,0,0
Dwayne Bowe,KC,ARI@KC,28.0,0,0,0,0,0,0,0,0,0,0,6,109,2,0,0,0
Reggie Wayne,IND,IND@NE,24.0,0,0,0,0,0,0,0,0,0,0,8,107,1,0,0,0
Nate Burleson,DET,DET@DAL,23.0,0,0,0,0,0,0,1,15,0,0,7,97,1,0,0,0
Santana Moss,WAS,WAS@TEN,22.0,0,0,0,0,0,0,0,0,0,0,6,106,1,0,0,0
Larry Fitzgerald,ARI,ARI@KC,21.0,0,0,0,0,0,0,0,0,0,0,6,90,1,0,0,0
Jeremy Maclin,PHI,NYG@PHI,21.0,0,0,0,0,0,0,0,0,0,0,9,120,0,0,0,0
Mike Wallace,PIT,OAK@PIT,21.0,0,0,0,0,0,0,1,19,0,0,3,116,1,0,0,0
Blair White,IND,IND@NE,21.0,0,0,0,0,0,0,0,0,0,0,5,42,2,0,0,0
Robert Meachem,NO,SEA@NO,20.0,0,0,0,0,0,0,1,8,0,0,3,50,2,0,0,0
Patrick Crayton,DEN,DEN@SD,19.0,1,0,0,0,0,0,0,0,0,0,3,105,1,0,0,0
Brandon Lloyd,DEN,DEN@SD,19.0,0,0,0,0,0,0,0,0,0,0,6,78,1,0,0,0
Ben Obomanu,SEA,SEA@NO,19.0,0,0,0,0,0,0,0,0,0,0,5,87,1,0,0,0
Roddy White,ATL,ATL@STL,19.0,0,0,0,0,0,0,0,0,0,0,9,83,0,1,0,0
Braylon Edwards,NYJ,HOU@NYJ,18.0,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
Donald Jones,BUF,BUF@CIN,18.0,0,0,0,0,0,0,1,1,0,0,5,70,1,0,0,0
David Gettis,CAR,BAL@CAR,17.0,0,0,0,0,0,0,0,0,0,0,2,92,1,0,0,0
Calvin Johnson,DET,DET@DAL,16.0,0,0,0,0,0,0,0,0,0,0,6,46,1,0,0,0
Nate Washington,TEN,WAS@TEN,16.0,0,0,0,0,0,0,0,0,0,0,5,117,0,0,0,0
Wes Welker,NE,IND@NE,16.0,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0
Mike Williams,SEA,SEA@NO,16.0,0,0,0,0,0,0,0,0,0,0,6,109,0,0,0,0
Brandon Gibson,STL,ATL@STL,15.0,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0
T.J. Houshmandzadeh,BAL,BAL@CAR,15.0,0,0,0,0,0,0,0,0,0,0,2,79,1,0,0,0
Terrell Owens,CIN,BUF@CIN,15.0,0,0,0,0,0,0,0,0,0,0,3,63,1,0,0,0
Danny Amendola,STL,ATL@STL,14.0,0,0,0,0,0,0,0,0,0,0,8,63,0,0,0,0
Miles Austin,DAL,DET@DAL,14.0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0
Deion Branch,NE,IND@NE,14.0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0
Steve Breaston,ARI,ARI@KC,14.0,0,0,0,0,0,0,0,0,0,0,5,92,0,0,0,0
James Jones,GB,GB@MIN,14.0,0,0,0,0,0,0,0,0,0,0,3,51,1,0,0,0
Mike Thomas,JAX,CLE@JAX,14.0,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,0
Mike Williams,TB,TB@SF,14.0,0,0,0,0,0,0,0,0,0,0,3,54,1,0,0,0
Brandon Stokley,SEA,SEA@NO,13.0,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
Brian Hartline,MIA,CHI@MIA,12.0,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
Hakeem Nicks,NYG,NYG@PHI,12.0,0,0,0,0,0,0,0,0,0,0,6,65,0,0,0,0
Jordan Shipley,CIN,BUF@CIN,12.0,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0
Austin Collie,IND,IND@NE,11.0,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
Pierre Garcon,IND,IND@NE,11.0,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
Chad Johnson,CIN,BUF@CIN,11.0,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
Andre Roberts,ARI,ARI@KC,11.0,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0
Emmanuel Sanders,PIT,OAK@PIT,11.0,0,0,0,0,0,0,0,0,0,0,2,35,1,0,0,0
Malcom Floyd,SD,DEN@SD,10.0,0,0,0,0,0,0,0,0,0,0,2,24,1,0,0,0
Derek Hagan,NYG,NYG@PHI,10.0,0,0,0,0,0,0,0,0,0,0,3,10,1,0,0,0
DeSean Jackson,PHI,NYG@PHI,10.0,0,0,0,0,0,0,1,3,0,0,5,50,0,0,0,0
Michael Jenkins,ATL,ATL@STL,10.0,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
Johnny Knox,CHI,CHI@MIA,10.0,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
Laurent Robinson,STL,ATL@STL,10.0,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
Dez Bryant,DAL,DET@DAL,9.0,0,0,0,0,0,0,0,0,0,0,3,8,1,0,0,0
Lee Evans,BUF,BUF@CIN,9.0,0,0,0,0,0,0,0,0,0,0,2,72,0,0,0,0
Mohamed Massaquoi,CLE,CLE@JAX,9.0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
Brian Finneran,ATL,ATL@STL,8.0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0
Devin Hester,CHI,CHI@MIA,8.0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
Josh Morgan,SF,TB@SF,8.0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,1,0
Sidney Rice,MIN,GB@MIN,8.0,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0
Steve Smith,CAR,BAL@CAR,8.0,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Anthony Armstrong,WAS,WAS@TEN,7.0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Jason Avant,PHI,NYG@PHI,7.0,0,0,0,0,0,0,0,0,0,0,2,39,0,1,0,0
Donald Driver,GB,GB@MIN,7.0,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Johnnie Lee Higgins,OAK,OAK@PIT,7.0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
Andre Johnson,HOU,HOU@NYJ,7.0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
Brandon Marshall,MIA,CHI@MIA,7.0,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Derrick Mason,BAL,BAL@CAR,7.0,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
Lance Moore,NO,SEA@NO,7.0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0
Jabar Gaffney,DEN,DEN@SD,6.0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Joey Galloway,WAS,WAS@TEN,6.0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Greg Lewis,MIN,GB@MIN,6.0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
Chansi Stuckey,CLE,CLE@JAX,6.0,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
David Anderson,HOU,HOU@NYJ,5.0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
Greg Camarillo,MIN,GB@MIN,5.0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
Mario Manningham,NYG,NYG@PHI,5.0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
Jordy Nelson,GB,GB@MIN,5.0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Hines Ward,PIT,OAK@PIT,5.0,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
Anquan Boldin,BAL,BAL@CAR,4.0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,1,0
Jacoby Ford,OAK,OAK@PIT,4.0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Percy Harvin,MIN,GB@MIN,4.0,0,0,0,0,0,0,2,18,0,0,2,12,0,0,0,0
Marlon Moore,MIA,CHI@MIA,4.0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Louis Murphy,OAK,OAK@PIT,4.0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,0
Kassim Osgood,JAX,CLE@JAX,4.0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
