Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
David AkersD. Akers,PHI,PHI@WAS,11.00,8,8,1,1,0
Dan CarpenterD. Carpenter,MIA,TEN@MIA,11.00,2,2,3,3,0
Joe NedneyJ. Nedney,SF,STL@SF,11.00,2,2,3,3,0
Adam VinatieriA. Vinatieri,IND,CIN@IND,11.00,2,2,3,3,0
Matt BryantM. Bryant,ATL,BAL@ATL,10.00,2,2,2,2,1
John KasayJ. Kasay,CAR,CAR@TB,10.00,1,1,3,3,0
David BuehlerD. Buehler,DAL,DAL@NYG,9.00,4,3,3,2,0
Robbie GouldR. Gould,CHI,MIN@CHI,9.00,3,3,3,2,0
Shayne GrahamS. Graham,NE,NE@PIT,9.00,4,3,2,2,0
Josh BrownJ. Brown,STL,STL@SF,8.00,2,2,2,2,0
Phil DawsonP. Dawson,CLE,NYJ@CLE,8.00,2,2,2,2,0
Nick FolkN. Folk,NYJ,NYJ@CLE,8.00,2,2,5,2,0
Lawrence TynesL. Tynes,NYG,DAL@NYG,8.00,2,2,2,2,0
Connor BarthC. Barth,TB,CAR@TB,7.00,4,4,1,1,0
Ryan LongwellR. Longwell,MIN,MIN@CHI,7.00,1,1,3,2,0
Matt PraterM. Prater,DEN,KC@DEN,7.00,7,7,1,0,0
Josh ScobeeJ. Scobee,JAX,HOU@JAX,7.00,4,4,3,1,0
Neil RackersN. Rackers,HOU,HOU@JAX,6.00,3,3,1,1,0
Dave RaynerD. Rayner,DET,DET@BUF,6.00,0,0,3,2,0
Rob BironasR. Bironas,TEN,TEN@MIA,5.00,2,2,1,1,0
Mike NugentM. Nugent,CIN,CIN@IND,5.00,2,2,1,1,0
Ryan SuccopR. Succop,KC,KC@DEN,5.00,2,2,2,1,0
Jay FeelyJ. Feely,ARI,SEA@ARI,4.00,1,1,1,1,0
Graham GanoG. Gano,WAS,PHI@WAS,4.00,4,4,0,0,0
Jeff ReedJ. Reed,NE,NE@PIT,4.00,1,1,2,1,0
Billy CundiffB. Cundiff,BAL,BAL@ATL,3.00,3,3,0,0,0
Rian LindellR. Lindell,BUF,DET@BUF,2.00,2,2,1,0,0
