Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Hakeem NicksH. Nicks,NYG,NYG@HOU,37.00,0,0,0,0,0,0,0,0,0,0,12,130,2,0,0,0
Malcom FloydM. Floyd,SD,SD@OAK,35.00,0,0,0,0,0,0,0,0,0,0,8,213,1,0,0,0
Matt ForteM. Forte,CHI,CHI@CAR,32.00,0,0,0,0,0,0,22,166,2,0,2,22,0,0,0,0
Miles AustinM. Austin,DAL,TEN@DAL,31.00,0,0,0,0,0,0,1,4,0,0,9,166,1,0,0,0
Ray RiceR. Rice,BAL,DEN@BAL,31.00,0,0,0,0,0,0,27,133,2,0,4,26,0,0,0,0
Brandon LloydB. Lloyd,DEN,DEN@BAL,30.00,0,0,0,0,0,0,0,0,0,0,5,135,2,0,0,0
Philip RiversP. Rivers,SD,SD@OAK,28.00,42,27,431,2,0,0,1,14,0,0,0,0,0,0,2,0
Tony RomoT. Romo,DAL,TEN@DAL,28.00,46,31,406,3,3,0,1,9,0,0,0,0,0,0,0,0
Shaun HillS. Hill,DET,STL@DET,27.00,32,21,227,3,0,0,2,9,0,0,0,0,0,0,0,0
Ryan FitzpatrickR. Fitzpatrick,BUF,JAX@BUF,26.00,30,20,220,3,0,0,2,4,0,0,0,0,0,0,0,0
Percy HarvinP. Harvin,MIN,MIN@NYJ,26.00,0,0,0,0,0,0,0,0,0,0,5,97,2,0,0,0
Chris JohnsonC. Johnson,TEN,TEN@DAL,26.00,0,0,0,0,0,0,19,131,2,0,1,1,0,0,0,0
Alex SmithA. Smith,SF,PHI@SF,26.00,39,25,309,3,2,0,3,16,0,0,0,0,0,0,1,0
Michael CrabtreeM. Crabtree,SF,PHI@SF,25.00,0,0,0,0,0,0,0,0,0,0,9,105,1,0,0,0
Eli ManningE. Manning,NYG,NYG@HOU,25.00,42,27,297,3,2,0,6,9,0,0,0,0,0,0,0,0
Brett FavreB. Favre,MIN,MIN@NYJ,24.00,34,14,264,3,1,0,4,1,0,0,0,0,0,0,2,0
LeSean McCoyL. McCoy,PHI,PHI@SF,24.00,0,0,0,0,0,0,18,92,1,0,5,46,0,0,0,0
Kyle OrtonK. Orton,DEN,DEN@BAL,24.00,38,23,314,2,0,0,0,0,0,0,0,0,0,0,0,0
Terrell OwensT. Owens,CIN,TB@CIN,23.00,0,0,0,0,0,0,0,0,0,0,7,102,1,0,0,0
Michael BushM. Bush,OAK,SD@OAK,22.00,0,0,0,0,0,0,26,104,1,0,3,31,0,0,0,0
David GarrardD. Garrard,JAX,JAX@BUF,22.00,20,16,178,3,1,0,3,9,0,0,0,0,0,0,1,0
Vernon DavisV. Davis,SF,PHI@SF,21.00,0,0,0,0,0,0,0,0,0,0,5,104,1,0,0,0
Stevie JohnsonS. Johnson,BUF,JAX@BUF,21.00,0,0,0,0,0,0,0,0,0,0,5,46,2,0,0,0
Marcedes LewisM. Lewis,JAX,JAX@BUF,21.00,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
Roddy WhiteR. White,ATL,ATL@CLE,21.00,0,0,0,0,0,0,0,0,0,0,5,101,1,0,0,0
Mike WilliamsM. Williams,TB,TB@CIN,21.00,0,0,0,0,0,0,0,0,0,0,7,99,1,0,1,0
Danny AmendolaD. Amendola,STL,STL@DET,20.00,0,0,0,0,0,0,0,0,0,0,12,95,0,0,1,0
Antonio GatesA. Gates,SD,SD@OAK,20.00,0,0,0,0,0,0,0,0,0,0,5,92,1,0,0,0
Steve SmithS. Smith,NYG,NYG@HOU,20.00,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0
