Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Michael VickM. Vick,PHI,PHI@NYG,44.00,35,21,242,3,1,0,10,130,1,0,0,0,0,0,0,0
Rex GrossmanR. Grossman,WAS,WAS@DAL,35.00,43,25,322,4,2,2,1,-1,0,0,0,0,0,0,1,0
Eli ManningE. Manning,NYG,PHI@NYG,33.00,39,23,289,4,1,0,0,0,0,0,0,0,0,0,0,0
Philip RiversP. Rivers,SD,SF@SD,28.00,25,19,273,3,0,0,0,0,0,0,0,0,0,0,0,0
Drew BreesD. Brees,NO,NO@BAL,26.00,46,29,267,3,1,0,0,0,0,0,0,0,0,0,0,0
Matt FlynnM. Flynn,GB,GB@NE,26.00,37,24,251,3,1,0,3,13,0,0,0,0,0,0,1,0
Jon KitnaJ. Kitna,DAL,WAS@DAL,25.00,37,25,305,2,0,0,4,11,0,0,0,0,0,0,0,0
Tim TebowT. Tebow,DEN,DEN@OAK,24.00,16,8,138,1,0,0,8,78,1,0,0,0,0,0,0,0
Jay CutlerJ. Cutler,CHI,CHI@MIN,23.00,24,14,194,3,1,0,1,-1,0,0,0,0,0,0,0,0
Matt SchaubM. Schaub,HOU,HOU@TEN,23.00,54,35,325,2,1,0,0,0,0,0,0,0,0,0,0,0
Matt RyanM. Ryan,ATL,ATL@SEA,22.00,35,20,174,3,1,0,6,6,0,0,0,0,0,0,0,0
David GarrardD. Garrard,JAX,JAX@IND,21.00,38,24,294,2,1,0,4,8,0,0,0,0,0,0,0,0
Peyton ManningP. Manning,IND,JAX@IND,21.00,39,29,229,2,0,0,0,0,0,0,0,0,0,0,0,0
Colt McCoyC. McCoy,CLE,CLE@CIN,21.00,25,19,243,2,0,0,0,0,0,0,0,0,0,0,0,0
Kerry CollinsK. Collins,TEN,HOU@TEN,19.00,24,14,237,2,1,0,2,-2,0,0,0,0,0,0,0,0
Ryan FitzpatrickR. Fitzpatrick,BUF,BUF@MIA,19.00,26,16,223,2,1,0,3,19,0,0,0,0,0,0,0,0
Tom BradyT. Brady,NE,GB@NE,18.00,24,15,163,2,0,0,0,0,0,0,0,0,0,0,0,0
Joe FlaccoJ. Flacco,BAL,NO@BAL,18.00,20,10,172,2,0,0,1,2,0,0,0,0,0,0,0,0
Josh FreemanJ. Freeman,TB,DET@TB,18.00,32,21,251,1,0,0,5,29,0,0,0,0,0,0,0,0
Ben RoethlisbergerB. Roethlisberger,PIT,NYJ@PIT,18.00,44,23,264,1,0,0,2,25,0,0,0,0,0,0,0,0
Drew StantonD. Stanton,DET,DET@TB,18.00,37,23,252,1,0,0,2,24,0,0,0,0,0,0,0,0
Jason CampbellJ. Campbell,OAK,DEN@OAK,15.00,26,15,238,1,2,0,5,41,0,0,0,0,0,0,0,0
Chad HenneC. Henne,MIA,BUF@MIA,15.00,45,33,276,1,1,0,0,0,0,0,0,0,0,0,0,0
Mark SanchezM. Sanchez,NYJ,NYJ@PIT,13.00,29,19,170,0,0,0,3,15,1,0,0,0,0,0,0,0
Matt CasselM. Cassel,KC,KC@STL,12.00,29,15,184,1,1,0,6,17,0,0,0,0,0,0,0,0
Jimmy ClausenJ. Clausen,CAR,ARI@CAR,12.00,19,13,141,1,0,0,5,14,0,0,0,0,0,0,0,0
Charlie WhitehurstC. Whitehurst,SEA,ATL@SEA,12.00,16,8,83,0,0,1,3,10,1,0,0,0,0,0,0,0
Joe WebbJ. Webb,MIN,CHI@MIN,10.00,26,15,129,0,2,0,6,38,1,0,0,0,0,0,0,0
Carson PalmerC. Palmer,CIN,CLE@CIN,8.00,23,14,209,0,0,0,5,-1,0,0,0,0,0,0,0,0
Brett FavreB. Favre,MIN,CHI@MIN,6.00,7,5,63,1,1,0,1,0,0,0,0,0,0,0,0,0
John SkeltonJ. Skelton,ARI,ARI@CAR,5.00,33,17,196,0,1,0,2,10,0,0,0,0,0,0,1,0
Alex SmithA. Smith,SF,SF@SD,4.00,29,19,165,0,1,0,1,6,0,0,0,0,0,0,0,0
Sam BradfordS. Bradford,STL,KC@STL,3.00,43,21,181,0,2,0,2,2,0,0,0,0,0,0,0,0
Josh JohnsonJ. Johnson,TB,DET@TB,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy VolekB. Volek,SD,SF@SD,0.00,0,0,0,0,0,0,3,-2,0,0,0,0,0,0,0,0
Matt HasselbeckM. Hasselbeck,SEA,ATL@SEA,-3.00,17,10,71,0,2,0,2,4,0,0,0,0,0,0,1,0
