Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Arian FosterA. Foster,HOU,HOU@OAK,33.00,0,0,0,0,0,0,17,133,1,0,3,56,1,0,0,0
LaDainian TomlinsonL. Tomlinson,NYJ,NYJ@BUF,30.00,0,0,0,0,0,0,19,133,2,0,3,22,0,0,0,0
LeSean McCoyL. McCoy,PHI,WAS@PHI,28.00,0,0,0,0,0,0,16,64,0,0,12,110,0,0,1,0
Maurice Jones-DrewM. Jones-Drew,JAX,IND@JAX,25.00,0,0,0,0,0,0,26,105,1,0,2,16,1,0,0,0
Joseph AddaiJ. Addai,IND,IND@JAX,22.00,0,0,0,0,0,0,16,63,2,0,3,19,0,0,0,0
Rashard MendenhallR. Mendenhall,PIT,BAL@PIT,21.00,0,0,0,0,0,0,25,79,2,0,2,9,0,0,0,0
Ahmad BradshawA. Bradshaw,NYG,CHI@NYG,20.00,0,0,0,0,0,0,23,129,1,0,2,14,0,0,1,0
Frank GoreF. Gore,SF,SF@ATL,20.00,0,0,0,0,0,0,21,77,0,0,7,60,0,0,0,0
Ricky WilliamsR. Williams,MIA,NE@MIA,19.00,0,0,0,0,0,0,8,56,0,0,4,45,1,0,0,0
Peyton HillisP. Hillis,CLE,CIN@CLE,18.00,0,0,0,0,0,0,27,102,1,0,2,8,0,0,0,0
Darren McFaddenD. McFadden,OAK,HOU@OAK,18.00,0,0,0,0,0,0,12,47,0,0,6,82,0,0,0,0
Mike TolbertM. Tolbert,SD,ARI@SD,18.00,0,0,0,0,0,0,16,100,1,0,2,3,0,0,0,0
DeAngelo WilliamsD. Williams,CAR,CAR@NO,16.00,0,0,0,0,0,0,13,86,1,0,1,14,0,0,0,0
Steven JacksonS. Jackson,STL,SEA@STL,15.00,0,0,0,0,0,0,22,70,0,0,3,54,0,0,0,0
