Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Joel DreessenJ. Dreessen,HOU,HOU@NYJ,20.00,0,0,0,0,0,0,0,0,0,0,4,106,1,0,0,0
Marcedes LewisM. Lewis,JAX,CLE@JAX,17.00,0,0,0,0,0,0,0,0,0,0,5,66,1,0,0,0
Chris CooleyC. Cooley,WAS,WAS@TEN,16.00,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0
Brandon PettigrewB. Pettigrew,DET,DET@DAL,15.00,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,0
Michael HoomanawanuiM. Hoomanawanui,STL,ATL@STL,14.00,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
Jacob TammeJ. Tamme,IND,IND@NE,13.00,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
Jimmy GrahamJ. Graham,NO,SEA@NO,12.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
Todd HeapT. Heap,BAL,BAL@CAR,11.00,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Evan MooreE. Moore,CLE,CLE@JAX,9.00,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
Justin PeelleJ. Peelle,ATL,ATL@STL,9.00,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0
Bo ScaifeB. Scaife,TEN,WAS@TEN,9.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
Tony GonzalezT. Gonzalez,ATL,ATL@STL,8.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Greg OlsenG. Olsen,CHI,CHI@MIA,8.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Jason WittenJ. Witten,DAL,DET@DAL,8.00,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Travis BeckumT. Beckum,NYG,NYG@PHI,7.00,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Aaron HernandezA. Hernandez,NE,IND@NE,7.00,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
