Player,Team,Game,Points,Passing Attempts,Passing Completions,Passing Yards,Passing TDs,Interceptions,Passing 2Pt Conv,Rushing Attempts,Rushing Yards,Rushing TDs,Rushing 2Pt Conv,Receptions,Receiving Yards,Receiving TDs,Receiving 2Pt Conv,Fumbles,Fumble TDs
Larry FitzgeraldL. Fitzgerald,ARI,ARI@SF,29.00,0,0,0,0,0,0,0,0,0,0,11,125,1,0,0,0
Jerome SimpsonJ. Simpson,CIN,CIN@BAL,28.00,0,0,0,0,0,0,1,2,0,0,12,123,1,0,2,0
Nate BurlesonN. Burleson,DET,MIN@DET,22.00,0,0,0,0,0,0,1,20,0,0,6,83,1,0,0,0
Reggie WayneR. Wayne,IND,TEN@IND,21.00,0,0,0,0,0,0,0,0,0,0,9,68,1,0,0,0
Pierre GarconP. Garcon,IND,TEN@IND,20.00,0,0,0,0,0,0,0,0,0,0,7,78,1,0,0,0
Chad HallC. Hall,PHI,DAL@PHI,20.00,0,0,0,0,0,0,1,2,0,0,6,84,1,0,0,0
Mario ManninghamM. Manningham,NYG,NYG@WAS,20.00,0,0,0,0,0,0,0,0,0,0,4,101,1,0,0,0
Kenny BrittK. Britt,TEN,TEN@IND,19.00,0,0,0,0,0,0,0,0,0,0,5,85,1,0,0,0
Mike WallaceM. Wallace,PIT,PIT@CLE,19.00,0,0,0,0,0,0,0,0,0,0,3,105,1,0,0,0
Brandon LloydB. Lloyd,DEN,SD@DEN,18.00,0,0,0,0,0,0,1,-18,0,0,5,73,1,0,0,0
Roddy WhiteR. White,ATL,CAR@ATL,18.00,0,0,0,0,0,0,0,0,0,0,6,62,1,0,0,0
Anthony ArmstrongA. Armstrong,WAS,NYG@WAS,16.00,0,0,0,0,0,0,0,0,0,0,2,84,1,0,0,0
Dezmon BriscoeD. Briscoe,TB,TB@NO,16.00,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0
Andre CaldwellA. Caldwell,CIN,CIN@BAL,16.00,0,0,0,0,0,0,0,0,0,0,7,94,0,0,0,0
Brandon LaFellB. LaFell,CAR,CAR@ATL,16.00,1,0,0,0,0,0,1,60,0,0,4,63,0,0,0,0
Brandon TateB. Tate,NE,MIA@NE,16.00,0,0,0,0,0,0,0,0,0,0,2,82,1,0,0,0
Santana MossS. Moss,WAS,NYG@WAS,15.00,0,0,0,0,0,0,0,0,0,0,9,74,0,0,1,0
Hines WardH. Ward,PIT,PIT@CLE,15.00,0,0,0,0,0,0,0,0,0,0,5,45,1,0,0,0
Adrian ArringtonA. Arrington,NO,TB@NO,14.00,0,0,0,0,0,0,0,0,0,0,7,79,0,0,0,0
Percy HarvinP. Harvin,MIN,MIN@DET,14.00,0,0,0,0,0,0,2,-4,0,0,8,69,0,0,0,0
Brandon MarshallB. Marshall,MIA,MIA@NE,14.00,0,0,0,0,0,0,0,0,0,0,5,97,0,0,0,0
Mike WilliamsM. Williams,TB,TB@NO,14.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
Rashied DavisR. Davis,CHI,CHI@GB,13.00,0,0,0,0,0,0,0,0,0,0,7,63,0,0,0,0
Derek HaganD. Hagan,NYG,NYG@WAS,13.00,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0
Greg JenningsG. Jennings,GB,CHI@GB,13.00,0,0,0,0,0,0,0,0,0,0,4,97,0,0,0,0
Davone BessD. Bess,MIA,MIA@NE,12.00,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0
Braylon EdwardsB. Edwards,NYJ,BUF@NYJ,12.00,0,0,0,0,0,0,0,0,0,0,1,52,1,0,0,0
Jacoby FordJ. Ford,OAK,OAK@KC,12.00,0,0,0,0,0,0,2,22,1,0,1,35,0,0,0,0
Ted Ginn Jr.T. Ginn,SF,ARI@SF,12.00,0,0,0,0,0,0,0,0,0,0,2,41,1,0,0,0
Jacoby JonesJ. Jones,HOU,JAX@HOU,12.00,0,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0
Dwayne BoweD. Bowe,KC,OAK@KC,11.00,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
Julian EdelmanJ. Edelman,NE,MIA@NE,11.00,0,0,0,0,0,0,1,13,0,0,3,72,0,0,0,0
Stevie JohnsonS. Johnson,BUF,BUF@NYJ,11.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,1,0
Ruvell MartinR. Martin,SEA,STL@SEA,11.00,0,0,0,0,0,0,0,0,0,0,3,85,0,0,0,0
Lance MooreL. Moore,NO,TB@NO,11.00,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0
Legedu NaaneeL. Naanee,SD,SD@DEN,11.00,0,0,0,0,0,0,0,0,0,0,4,79,0,0,0,0
Brian RobiskieB. Robiskie,CLE,PIT@CLE,11.00,0,0,0,0,0,0,0,0,0,0,2,35,1,0,0,0
Chaz SchilensC. Schilens,OAK,OAK@KC,11.00,0,0,0,0,0,0,0,0,0,0,3,24,1,0,0,0
Eric DeckerE. Decker,DEN,SD@DEN,10.00,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0
